file;seed;initial examples;precision;recall;number iterations;not found;total values;time in sec
bankCityBranchToSwiftCode11.csv; 976175741;3;0.0;0.0;-999;1412;2057;3.2506375312805176
bankCityBranchToSwiftCode11.csv; 976175741;5;0.0;0.0;-999;1410;2057;3.2506375312805176
bankCityBranchToSwiftCode11.csv; 976175741;10;0.0;0.0;-999;1405;2057;3.2506375312805176
BankToCity.csv; -801362379;3;0.0;0.0;-999;986;1418;1.8634850978851318
BankToCity.csv; -801362379;5;0.0;0.0;-999;984;1418;1.8634850978851318
BankToCity.csv; -801362379;10;0.0;0.0;-999;979;1418;1.8634850978851318
bankToCountryDistinct.csv; -734262849;3;0.0;0.0;-999;1161;1200;2.2350730895996094
bankToCountryDistinct.csv; -734262849;5;0.0;0.0;-999;1159;1200;2.2350730895996094
bankToCountryDistinct.csv; -734262849;10;0.0;0.0;-999;1154;1200;2.2350730895996094
BankToSwiftCode.csv; -1348759626;3;0.0;0.0;-999;986;2057;2.0142769813537598
BankToSwiftCode.csv; -1348759626;5;0.0;0.0;-999;985;2057;2.0142769813537598
BankToSwiftCode.csv; -1348759626;10;0.0;0.0;-999;981;2057;2.0142769813537598
bankToSwiftCode8.csv; -2037920222;3;0.0;0.0;-999;986;1046;1.8015108108520508
bankToSwiftCode8.csv; -2037920222;5;0.0;0.0;-999;984;1046;1.8015108108520508
bankToSwiftCode8.csv; -2037920222;10;0.0;0.0;-999;979;1046;1.8015108108520508
CharToAscii.csv; -1312420163;3;0.0;0.0;-999;8;12;2.0677835941314697
CharToAscii.csv; -1312420163;5;0.0;0.0;-999;6;12;2.0677835941314697
CharToAscii.csv; -1312420163;10;0.0;0.0;-999;1;12;2.0677835941314697
City2LongLat.csv; -2129790766;3;0.0;0.0;-999;7;11;2.2074859142303467
City2LongLat.csv; -2129790766;5;0.0;0.0;-999;5;11;2.2074859142303467
City2LongLat.csv; -2129790766;10;0.0;NaN;-999;0;11;2.2074859142303467
City2TallBuildings.csv; -1609953141;3;0.5;0.010526315789473684;-999;38;98;7.073181390762329
City2TallBuildings.csv; -1609953141;5;0.0;0.0;-999;38;98;7.073181390762329
City2TallBuildings.csv; -1609953141;10;0.0;0.0;-999;34;98;7.073181390762329
City2TallBuildings_up to 2013.csv; -792103500;3;0.0;0.0;-999;40;98;6.409195184707642
City2TallBuildings_up to 2013.csv; -792103500;5;0.0;0.0;-999;38;98;6.409195184707642
City2TallBuildings_up to 2013.csv; -792103500;10;0.0;0.0;-999;35;98;6.409195184707642
CityToCountry.csv; -1311631171;3;0.0;0.0;-999;17;21;34.798351526260376
CityToCountry.csv; -1311631171;5;0.7142857142857143;0.3333333333333333;-999;8;21;34.798351526260376
CityToCountry.csv; -1311631171;10;0.375;0.3;-999;2;21;34.798351526260376
CityToZIp.csv; -1520708547;3;0.0;0.0;-999;16136;33477;23.159181118011475
CityToZIp.csv; -1520708547;5;0.8513302034428795;0.06501150249469691;-999;13578;33477;23.159181118011475
CityToZIp.csv; -1520708547;10;0.0;0.0;-999;16129;33477;23.159181118011475
CompanyToBloombergID.csv; 683428544;3;0.0;0.0;-999;7;11;2.0303313732147217
CompanyToBloombergID.csv; 683428544;5;0.0;0.0;-999;5;11;2.0303313732147217
CompanyToBloombergID.csv; 683428544;10;0.0;NaN;-999;0;11;2.0303313732147217
CompanyToCeo.csv; -192757318;3;0.0;0.0;-999;7;11;3.790600061416626
CompanyToCeo.csv; -192757318;5;0.0;0.0;-999;5;11;3.790600061416626
CompanyToCeo.csv; -192757318;10;0.0;NaN;-999;0;11;3.790600061416626
CompanyToIndustry.csv; 451532353;3;0.0;0.0;-999;7;11;6.349543571472168
CompanyToIndustry.csv; 451532353;5;0.0;0.0;-999;5;11;6.349543571472168
CompanyToIndustry.csv; 451532353;10;0.0;NaN;-999;0;11;6.349543571472168
CompanyToTicker.csv; 1560478718;3;0.9927830401443392;0.7408280040390441;-999;688;2979;23.97904944419861
CompanyToTicker.csv; 1560478718;5;0.992789544840018;0.742000673627484;-999;684;2979;23.97904944419861
CompanyToTicker.csv; 1560478718;10;0.9896507115135834;0.7742914979757085;-999;579;2979;23.97904944419861
Continent2Countries.csv;An error occured;205;3.130065441131592
CountriesToContinents.csv; 94864112;3;0.0;0.0;-999;197;205;33.64480495452881
CountriesToContinents.csv; 94864112;5;0.6363636363636364;0.035175879396984924;-999;184;205;33.64480495452881
CountriesToContinents.csv; 94864112;10;0.0;0.0;-999;190;205;33.64480495452881
Country2HeadState_upTo2012.csv;Timed out after 6 minutes.;40;360.15534949302673
Country2Mountains7k.txt; 2019034048;3;0.0;0.0;-999;9;149;4.952380180358887
Country2Mountains7k.txt; 2019034048;5;0.0;0.0;-999;9;149;4.952380180358887
Country2Mountains7k.txt; 2019034048;10;0.0;0.0;-999;9;149;4.952380180358887
Country2UnescoSites.txt; -1704800364;3;0.0;0.0;-999;16;134;4.994296073913574
Country2UnescoSites.txt; -1704800364;5;0.0;0.0;-999;14;134;4.994296073913574
Country2UnescoSites.txt; -1704800364;10;0.0;0.0;-999;13;134;4.994296073913574
CountryCodeToCountry.csv;An error occured;234;28.158298015594482
CountryHeadOfState.csv; -284600003;3;0.0;0.0;-999;187;210;1.8886444568634033
