file;seed;initial examples;precision;recall;number iterations;not found;total values;time in sec
AthleteDateToMeetingPlaceCleaned.csv; -1264958796;3;0.0;0.0; 0;32;43;1.6453981399536133
AthleteDateToMeetingPlaceCleaned.csv; -1264958796;5;0.0;0.0; 0;31;43;1.6453981399536133
AthleteDateToMeetingPlaceCleaned.csv; -1264958796;10;0.0;0.0; 0;26;43;1.6453981399536133
AthletesHoldingWorldRecordsPerCountry.csv;An error occured;64;0.08092761039733887
Author2Novels.csv;An error occured;44;0.10817909240722656
AuthorYear2Novel.csv; -949358825;3;0.0;0.0; 1;39;43;4.748528242111206
AuthorYear2Novel.csv; -949358825;5;0.6666666666666666;0.05405405405405406; 6;34;43;4.748528242111206
AuthorYear2Novel.csv; -949358825;10;0.6666666666666666;0.0625; 7;29;43;4.748528242111206
AwardToArtist.csv;An error occured;146;0.09470868110656738
bankCityBranchToSwiftCode11.csv; 976175741;3;0.0;0.0; 0;1412;2057;3.3505775928497314
bankCityBranchToSwiftCode11.csv; 976175741;5;0.0;0.0; 0;1410;2057;3.3505775928497314
bankCityBranchToSwiftCode11.csv; 976175741;10;0.0;0.0; 1;1405;2057;3.3505775928497314
BankToCity.csv; -801362379;3;0.0;0.0; 0;986;1418;1.8365275859832764
BankToCity.csv; -801362379;5;0.0;0.0; 0;984;1418;1.8365275859832764
BankToCity.csv; -801362379;10;0.0;0.0; 1;979;1418;1.8365275859832764
bankToCountryDistinct.csv; -734262849;3;0.0;0.0; 0;1161;1200;2.502397298812866
bankToCountryDistinct.csv; -734262849;5;0.0;0.0; 0;1159;1200;2.502397298812866
bankToCountryDistinct.csv; -734262849;10;0.0;0.0; 1;1154;1200;2.502397298812866
BankToSwiftCode.csv; -1348759626;3;0.0;0.0; 0;986;2057;1.7834088802337646
BankToSwiftCode.csv; -1348759626;5;0.0;0.0; 0;985;2057;1.7834088802337646
BankToSwiftCode.csv; -1348759626;10;0.0;0.0; 0;981;2057;1.7834088802337646
bankToSwiftCode8.csv; -2037920222;3;0.0;0.0; 0;986;1046;1.8173046112060547
bankToSwiftCode8.csv; -2037920222;5;0.0;0.0; 0;984;1046;1.8173046112060547
