file;seed;#examples;precision;recall;not found;#examples;precision;recall;not found;#examples;precision;recall;not found;total values;time in sec
airportToCountry.csv; 1616584329;3;0.9411764705882353;0.14678899082568808;92;5;0.7555555555555555;0.6355140186915887;92;10;0.7888888888888889;0.696078431372549;92;113;19.012060165405273
TitleYear2Artist.txt; 2125556922;3;0.9444444444444444;0.918918918918919;1;5;0.9705882352941176;0.9428571428571428;1;10;0.9666666666666667;0.9666666666666667;1;42;14.816894054412842
HeadstateCountry.csv; 97543537;3;0.0;0.0;35;5;0.0;0.0;35;10;0.0;0.0;35;40;4.9920806884765625
YearLaureateNobelPrizeField.csv; 261731300;3;0.0;0.0;112;5;0.0;0.0;112;10;0.0;0.0;112;950;5.854265928268433
prettycleaned_currencies.csv;Error occured;199;13.35629391670227
SoccerPlayer2club.csv; 791786425;3;0.9459459459459459;0.9459459459459459;0;5;0.7428571428571429;0.7428571428571429;0;10;0.6;0.6;0;41;18.269635915756226
MovieActorYear2Role.txt; 833360446;3;0.0;0.0;509;5;0.0;0.0;509;10;0.0;0.0;509;515;4.627194881439209
Worldcupwinner2year.txt;xFormer timed out after 6 minutes;18;360.2778990268707
GregorianToHijri.csv;xFormer timed out after 6 minutes;11;360.0746121406555
PapertitleToauthors_FullName_List.csv; 464005218;3;0.0;0.0;990;5;0.0;0.0;990;10;0.0;0.0;990;994;2.1519784927368164
selectedSoccerPlayer2club.csv; 152112535;3;0.8717948717948718;0.8095238095238095;3;5;0.868421052631579;0.825;3;10;0.7857142857142857;0.6285714285714286;3;46;18.530571937561035
TickerToCompanyName.csv; 1620522624;3;0.0;0.0;7;5;0.0;0.0;7;10;0.0;NaN;7;11;21.743181943893433
Mountain7k2Countries.txt; 721565989;3;0.0;0.0;114;5;0.0;0.0;114;10;0.4215686274509804;0.3115942028985507;114;149;3.9331002235412598
videogameReleaseDate2Developer.csv; -1612287197;3;0.0;0.0;361;5;0.0;0.0;361;10;0.0;0.0;361;377;2.153048038482666
CountryToAreaSqKM.csv; -223987581;3;0.9525862068965517;0.9324894514767933;5;5;0.9497716894977168;0.8851063829787233;5;10;0.3523809523809524;0.3217391304347826;5;241;31.215487957000732
AthleteDateToMeetingPlaceCleaned.csv; 514826755;3;0.0;0.0;32;5;0.0;0.0;32;10;0.0;0.0;32;43;1.7331085205078125
SymbolToCompanyName.csv; 596676086;3;0.42857142857142855;0.42857142857142855;0;5;0.0;0.0;0;10;0.0;NaN;0;11;18.459839344024658
AthleteDateToEvent.csv; -1068776668;3;0.0;0.0;25;5;0.0;0.0;25;10;0.0;0.0;25;35;2.1996378898620605
YearNobelPrizeLaureate.csv; 409859782;3;0.0;0.0;113;5;0.0;0.0;113;10;0.330188679245283;0.03804347826086957;113;950;9.58513593673706
ISSNToTitle.csv; -1555008861;3;0.0;0.0;7;5;0.0;0.0;7;10;0.0;NaN;7;11;2.2823665142059326
SoccerPlayer2NationalTeam.csv; -80391919;3;0.875;0.030303030303030304;223;5;0.8852459016393442;0.23580786026200873;223;10;0.7439024390243902;0.27232142857142855;223;235;17.205013513565063
FastFoodRestaurants.csv;Error occured;97;2.349385976791382
USD2RUB.csv;Error occured;10;0.3885834217071533
TeamToCoach.txt; 1364183825;3;0.5;0.5;0;5;0.42857142857142855;0.42857142857142855;0;10;0.5555555555555556;0.5555555555555556;0;20;5.436103105545044
ArenaTocurrentSoccerClubs.txt; 478451362;3;0.5833333333333334;0.25925925925925924;10;5;0.36363636363636365;0.16;10;10;0.3333333333333333;0.15;10;31;5.073961496353149
NBAClub2Roster.txt;xFormer timed out after 6 minutes;137;360.1454622745514
product2Company.txt; 2017295884;3;0.0;0.0;29;5;0.0;0.0;29;10;0.8333333333333334;0.22727272727272727;29;33;7.894962549209595
HeadstateCountry2Year_upTo2012.csv; -2022259299;3;0.0;0.0;35;5;0.0;0.0;35;10;0.0;0.0;35;40;6.777347564697266
EnglishToGerman.csv; -505380831;3;0.5;0.2857142857142857;3;5;0.6;0.6;3;10;0.0;NaN;3;11;13.995290040969849
bankToCountryDistinct.csv; -1985030794;3;0.0;0.0;1161;5;0.0;0.0;1161;10;0.0;0.0;1161;1200;2.130347728729248
CompanyToTicker.csv; -429865115;3;0.9927862939585211;0.7411645910467856;687;5;0.9927797833935018;0.740990232401482;687;10;0.9858781994704324;0.7537112010796221;687;2979;25.838874578475952
CountryToCurrencies.csv;Error occured;199;11.847541570663452
NovelYear2Author.csv; 1430216831;3;0.0;0.0;40;5;0.0;0.0;40;10;0.0;0.0;40;44;2.6900224685668945
CountryToThreeLettersISOCode.csv; -2142963380;3;0.9915254237288136;0.9873417721518988;1;5;0.9191489361702128;0.9191489361702128;1;10;0.0;0.0;1;241;75.43619108200073
ElementToSymbol.csv; -2032813515;3;0.9902912621359223;0.9532710280373832;0;5;0.039603960396039604;0.0380952380952381;0;10;0.03125;0.03;0;111;177.42984247207642
CompanyToBloombergID.csv; 815389065;3;0.0;0.0;7;5;0.0;0.0;7;10;0.0;NaN;7;11;1.978609561920166
AthleteDateToMeetingPlace.csv; 942017586;3;0.0;0.0;46;5;0.0;0.0;46;10;0.0;0.0;46;77;2.2144577503204346
RGBToColor.csv; -871648512;3;0.0;0.0;7;5;0.5;0.2;7;10;0.0;NaN;7;11;2.64149808883667
Countryy2TallBuildings_upto2013.csv; -1722330779;3;0.0;0.0;18;5;0.0;0.0;18;10;0.38461538461538464;0.05434782608695652;18;96;13.371302843093872
AnimalToGenusSpeciesCommonNames_cleaned.csv; 321433669;3;0.0;0.0;9;5;0.0;0.0;9;10;0.6666666666666666;0.1111111111111111;9;24;2.760133743286133
university2state.txt;xFormer timed out after 6 minutes;48;360.1639540195465
TimeZoneToAbbrv.csv; 1318891230;3;0.7307692307692307;0.6909090909090909;0;5;0.7815533980582524;0.7385321100917431;0;10;0.75;0.704225352112676;0;251;16.23978042602539
AnimalToGenusSpecies.csv; -908092904;3;0.0;0.0;90;5;0.0;0.0;90;10;0.0;0.0;90;533;5.958705425262451
SoccerPlayer2Birthplace.csv; 390896327;3;0.0;0.0;197;5;0.0;0.0;197;10;0.0;0.0;197;201;1.583827018737793
ZipToCity.csv; -397422609;3;0.0;0.0;33473;5;0.0;0.0;33473;10;0.8050404184498335;0.10117731428912927;33473;33477;19.17794680595398
prettycleaned_laureates.csv; -1062477855;3;0.0;0.0;742;5;1.0;0.6827956989247311;742;10;0.9213675213675213;0.7293640054127198;742;750;12.741155862808228
USStandardToMetric.csv;xFormer timed out after 6 minutes;10;360.0952076911926
AnimalToGenusSpeciesCommonNames.csv; -1207925625;3;0.0;0.0;90;5;0.0;0.0;90;10;0.0;0.0;90;532;2.1144661903381348
PoundsToKg.csv;xFormer timed out after 6 minutes;10;360.263569355011
City2TallBuildings.csv;Error occured;98;7.2172746658325195
CountryToCapital.csv;Error occured;201;23.74863910675049
SentenceToLanguage.csv; -1009498215;3;0.0;0.0;7;5;0.0;0.0;7;10;0.0;NaN;7;11;36.261327505111694
AwardToArtist.csv;Error occured;146;2.402358293533325
LaureateYearToCategory.csv; 1262481444;3;0.0;0.0;746;5;1.0;0.668010752688172;746;10;1.0;0.6671177266576455;746;750;4.91501784324646
CompanyToCeo.csv; -1198893525;3;0.0;0.0;4;5;0.0;0.0;4;10;0.0;NaN;4;11;5.064901828765869
prettycleaned_iban.csv;Error occured;70;0.37777066230773926
CountriesToContinents.csv;Error occured;205;9.668463468551636
Movie2year.txt; 1189603316;3;0.8571428571428571;0.75;1;5;1.0;0.8333333333333334;1;10;0.0;0.0;1;12;18.41000533103943
River2Countries2.csv; 1950163274;3;1.0;0.8148148148148148;5;5;0.8095238095238095;0.68;5;10;1.0;0.85;5;34;226.95899391174316
zipCity2country.txt; -1751876372;3;0.0;0.0;69;5;0.0;0.0;69;10;0.8;0.12903225806451613;69;75;5.338576793670654
AthleteDateToEventCleaned.csv; 1460616939;3;0.0;0.0;32;5;0.0;0.0;32;10;0.0;0.0;32;47;1.7411701679229736
Country2Mountains7k.txt; -461297861;3;0.4;0.0136986301369863;5;5;0.5;0.013793103448275862;5;10;0.5;0.013793103448275862;5;149;4.788308620452881
CompanyToIndustry.csv; -738593099;3;0.0;0.0;7;5;0.0;0.0;7;10;0.0;NaN;7;11;5.208566665649414
AuthorYear2Novel.csv; 860500568;3;0.0;0.0;39;5;0.0;0.0;39;10;0.0;0.0;39;43;2.359009027481079
videogameReleaseDate2Publisher.csv; -465133959;3;0.0;0.0;366;5;0.0;0.0;366;10;0.0;0.0;366;377;2.5358824729919434
Movie2Cast.txt;Error occured;515;5.894958972930908
ISBNToTitle.csv; -1550665500;3;0.0;0.0;7;5;0.0;0.0;7;10;0.0;NaN;7;11;1.7703380584716797
BankToCity.csv; 122667328;3;0.0;0.0;986;5;0.0;0.0;986;10;0.967948717948718;0.10747330960854093;986;1418;3.410444974899292
element2symbol.csv; 1625068567;3;0.32608695652173914;0.2803738317757009;11;5;0.05154639175257732;0.047619047619047616;11;10;0.021052631578947368;0.02;11;111;101.29962754249573
ISBNToPublisher.csv; -1045154068;3;0.0;0.0;7;5;0.0;0.0;7;10;0.0;NaN;7;11;1.7967967987060547
IPToCountry.csv; 1958596431;3;0.0;0.0;7;5;0.0;0.0;7;10;0.0;NaN;7;11;1.7490875720977783
Country2HeadState_upTo2012.csv;xFormer timed out after 6 minutes;40;360.1337432861328
