file;seed;initial examples;precision;recall;query iterations;number iterations;not found;total values;time in sec
CountryToThreeLettersISOCode.csv;;10;;;;;241;241;1805.2180542945862
CountryToTwoLettersISOCode.csv; 839081270;3;0.0;0.0; 2; 100;237;241;978.2256801128387
CountryToTwoLettersISOCode.csv; 839081270;5;0.0;0.0; 2; 100;235;241;978.2256801128387
CountryToTwoLettersISOCode.csv; 839081270;10;0.0;0.0; 2; 100;230;241;978.2256801128387
CountryYear2HeadState_upTo2012.txt; -204966181;3;0.0;0.0;-999; 0;36;40;165.29294395446777
CountryYear2HeadState_upTo2012.txt; -204966181;5;0.0;0.0;-999; 0;34;40;165.29294395446777
CountryYear2HeadState_upTo2012.txt; -204966181;10;0.0;0.0;-999; 1;29;40;165.29294395446777
ElementToBP.csv;;3;;;;;43;43;1804.867318868637
ElementToBP.csv;;5;;;;;43;43;1804.8674256801605
ElementToBP.csv;;10;;;;;43;43;1804.8675150871277
ElementToSymbol.csv; -262543442;3;0.9565217391304348;0.411214953271028; 2; 8;57;111;986.1909322738647
ElementToSymbol.csv; -262543442;5;0.9605263157894737;0.6952380952380952; 2; 100;25;111;986.1909322738647
ElementToSymbol.csv; -262543442;10;0.0;0.0; 2; 100;96;111;986.1909322738647
EnglishToGerman.csv; -1873640811;3;0.0;0.0;-999; 1;7;11;539.9528512954712
EnglishToGerman.csv; -1873640811;5;0.0;0.0;-999; 1;5;11;539.9528512954712
EnglishToGerman.csv; -1873640811;10;0.0;NaN;-999; 1;0;11;539.9528512954712
GameYear2Developer_UpTo2013.csv; 942421141;3;0.0;0.0;-999; 0;444;451;2.522848129272461
GameYear2Developer_UpTo2013.csv; 942421141;5;0.0;0.0;-999; 0;442;451;2.522848129272461
GameYear2Developer_UpTo2013.csv; 942421141;10;0.0;0.0;-999; 0;437;451;2.522848129272461
HexCodeToRGB.csv; -2004437861;3;0.0;0.0;-999; 0;7;11;4.569579124450684
