file;seed;initial examples;precision;recall;query iterations;number iterations;not found;total values;time in sec
2006SoccerPlayer2club.csv; 1728164916;3;0.0;0.0; 1; 1;62;66;281.3940210342407
2006SoccerPlayer2club.csv; 1728164916;5;0.0;0.0; 1; 1;60;66;281.3940210342407
2006SoccerPlayer2club.csv; 1728164916;10;0.0;0.0; 3; 9;44;66;281.3940210342407
20122013NameNumber2Club.txt; 744579296;3;0.0;0.0; 1; 1;35;40;10.610242128372192
20122013NameNumber2Club.txt; 744579296;5;0.0;0.0; 1; 1;33;40;10.610242128372192
20122013NameNumber2Club.txt; 744579296;10;0.0;0.0; 1; 1;28;40;10.610242128372192
2013UnescoSite2Country.csv; -112960585;3;0.8970588235294118;0.48031496062992124; 2; 13;59;131;115.76283764839172
2013UnescoSite2Country.csv; -112960585;5;0.8970588235294118;0.488; 2; 12;57;131;115.76283764839172
2013UnescoSite2Country.csv; -112960585;10;0.8985507246376812;0.5166666666666667; 2; 9;51;131;115.76283764839172
airport_codes_internalGT2.csv; 647105738;3;0.9966749792186201;0.22244897959183674; 2; 6;3764;5413;878.9479854106903
airport_codes_internalGT2.csv; 647105738;5;0.9478203434610304;0.7989977728285078; 2; 34;423;5413;878.9479854106903
airport_codes_internalGT2.csv; 647105738;10;0.9382741116751269;0.8584432472598923; 2; 43;35;5413;878.9479854106903
AirportcodeToCity.csv; 1172052156;3;0.9978821037769149;0.5368401063425751; 2; 4;1869;5289;1583.9795911312103
AirportcodeToCity.csv; 1172052156;5;0.9978393950306086;0.5264057750759878; 3; 100;1923;5289;1583.9795911312103
AirportcodeToCity.csv; 1172052156;10;0.9943488943488944;0.7695379349686252; 2; 100;625;5289;1583.9795911312103
airportToCountry.csv;;3;;;;;113;113;1805.046540260315
airportToCountry.csv;;5;;;;;113;113;1805.0467195510864
airportToCountry.csv;;10;;;;;113;113;1805.0468797683716
Album2Genre.csv; 2143119456;3;0.7647058823529411;0.3611111111111111; 2; 5;19;42;1335.1285610198975
Album2Genre.csv; 2143119456;5;0.6176470588235294;0.6176470588235294; 2; 17;0;42;1335.1285610198975
Album2Genre.csv; 2143119456;10;0.75;0.7241379310344828; 2; 100;1;42;1335.1285610198975
AnimalToGenusSpeciesCommonNames_cleaned.csv; 917812568;3;0.0;0.0; 1; 1;8;24;11.228106498718262
AnimalToGenusSpeciesCommonNames_cleaned.csv; 917812568;5;0.0;0.0; 1; 1;8;24;11.228106498718262
AnimalToGenusSpeciesCommonNames_cleaned.csv; 917812568;10;0.5;0.05263157894736842; 2; 9;5;24;11.228106498718262
ArenaTocurrentSoccerClubs.txt; 1617235799;3;0.0;0.0;-999; 1;22;31;66.7806601524353
ArenaTocurrentSoccerClubs.txt; 1617235799;5;0.0;0.0;-999; 1;20;31;66.7806601524353
ArenaTocurrentSoccerClubs.txt; 1617235799;10;0.625;0.25;-999; 2;7;31;66.7806601524353
ArtistToStudioAlbum.txt;;3;;;;;112;112;1805.4450449943542
ArtistToStudioAlbum.txt;;5;;;;;112;112;1805.445207118988
ArtistToStudioAlbum.txt;;10;;;;;112;112;1805.4453523159027
AthletesHoldingWorldRecordsPerCountry.csv;;3;;;;;64;64;3.644165515899658
AthletesHoldingWorldRecordsPerCountry.csv;;5;;;;;64;64;3.644317865371704
AthletesHoldingWorldRecordsPerCountry.csv;;10;;;;;64;64;3.6444575786590576
AuthorYear2Novel.csv; 561452599;3;0.0;0.0; 1; 1;39;43;11.999107837677002
AuthorYear2Novel.csv; 561452599;5;0.0;0.0; 1; 1;37;43;11.999107837677002
AuthorYear2Novel.csv; 561452599;10;0.0;0.0; 1; 1;32;43;11.999107837677002
bankCityBranchToSwiftCode11.csv; -201856630;3;0.0;0.0;-999; 0;1412;2057;2.7553627490997314
bankCityBranchToSwiftCode11.csv; -201856630;5;0.0;0.0;-999; 0;1410;2057;2.7553627490997314
bankCityBranchToSwiftCode11.csv; -201856630;10;0.0;0.0;-999; 0;1405;2057;2.7553627490997314
bankToSwiftCode8.csv; 1279525092;3;0.0;0.0;-999; 0;986;1046;1.916022777557373
bankToSwiftCode8.csv; 1279525092;5;0.0;0.0;-999; 0;984;1046;1.916022777557373
bankToSwiftCode8.csv; 1279525092;10;0.0;0.0;-999; 0;979;1046;1.916022777557373
CityToCountry.csv; -1748922938;3;0.0;0.0; 2; 100;17;21;1199.3804290294647
CityToCountry.csv; -1748922938;5;0.0;0.0; 2; 100;15;21;1199.3804290294647
CityToCountry.csv; -1748922938;10;0.0;0.0; 2; 100;6;21;1199.3804290294647
CompanyToTicker.csv; -1814555949;3;0.9886561954624782;0.7627061595422416; 2; 43;613;2979;1536.0199518203735
CompanyToTicker.csv; -1814555949;5;0.9843273835437527;0.761535870663523; 2; 44;606;2979;1536.0199518203735
CompanyToTicker.csv; -1814555949;10;0.9631578947368421;0.8026315789473685; 2; 39;428;2979;1536.0199518203735
CountriesToContinents.csv; 518615238;3;0.2931937172774869;0.27860696517412936; 2; 14;6;205;1223.077431678772
CountriesToContinents.csv; 518615238;5;0.23809523809523808;0.22613065326633167; 2; 19;6;205;1223.077431678772
CountriesToContinents.csv; 518615238;10;0.0;0.0; 2; 100;190;205;1223.077431678772
CountryCodeToCountry.csv; 1662912493;3;0.0;0.0; 2; 100;220;234;460.18979597091675
CountryCodeToCountry.csv; 1662912493;5;0.0;0.0; 2; 100;218;234;460.18979597091675
CountryCodeToCountry.csv; 1662912493;10;0.0;0.0; 2; 100;213;234;460.18979597091675
CountryToAreaSqKM.csv; -936447196;3;0.9504504504504504;0.890295358649789; 2; 14;15;241;658.792017698288
CountryToAreaSqKM.csv; -936447196;5;0.7739130434782608;0.7574468085106383; 2; 20;5;241;658.792017698288
CountryToAreaSqKM.csv; -936447196;10;0.7377777777777778;0.7217391304347827; 2; 13;5;241;658.792017698288
CountryToCapital.csv; -1711710502;3;0.0;0.0; 2; 100;197;201;802.5384368896484
CountryToCapital.csv; -1711710502;5;0.0;0.0; 2; 100;195;201;802.5384368896484
CountryToCapital.csv; -1711710502;10;0.0;0.0; 2; 100;190;201;802.5384368896484
CountryToCountryCode.csv; 764273477;3;0.35443037974683544;0.35443037974683544; 2; 28;0;241;1471.9136219024658
CountryToCountryCode.csv; 764273477;5;0.9344262295081968;0.2425531914893617; 2; 100;174;241;1471.9136219024658
CountryToCountryCode.csv; 764273477;10;0.861244019138756;0.782608695652174; 2; 100;21;241;1471.9136219024658
CountryToThreeLettersISOCode.csv; -1996588353;3;0.9743589743589743;0.16033755274261605; 2; 100;198;241;808.6310837268829
CountryToThreeLettersISOCode.csv; -1996588353;5;0.9457831325301205;0.6680851063829787; 2; 100;69;241;808.6310837268829
CountryToThreeLettersISOCode.csv; -1996588353;10;0.0;0.0; 2; 100;230;241;808.6310837268829
