movie,actor,year,role
American History X,Jennifer Lien,1998,Davina Vinyard
American History X,Ethan Suplee,1998,Seth Ryan
American History X,Fairuza Balk,1998,Stacey
American History X,Avery Brooks,1998,Dr. Bob Sweeney
American History X,Elliott Gould,1998,Murray
American History X,Stacy Keach,1998,Cameron Alexander
American History X,William Russ,1998,Dennis Vinyard
American History X,Guy Torry,1998,Lamont
American History X,Joe Cortese,1998,Rasmussen
American History X,Jason Bose Smith,1998,Little Henry (as Jason Bose-Smith)
American History X,Antonio David Lyons,1998,Lawrence
American History X,Alex Sol,1998,Mitch McCormick
American History X,Keram Malicki-Sánchez,1998,Chris (as Keram Malicki-Sanchez)
American History X,Giuseppe Andrews,1998,Jason
American History X,Michelle Christine White,1998,Lizzy
American History X,Jonathan Fowler Jr.,1998,Jerome
American History X,Christopher Masterson,1998,Daryl Dawson (as Chris Masterson)
American History X,Nicholas R. Oleson,1998,Huge Aryan
American History X,Jordan Marder,1998,Curtis
American History X,Paul Le Mat,1998,McMahon
American History X,Thomas L. Bellissimo,1998,Cop 2 (as Tommy L. Bellissimo)
American History X,Cherish Lee,1998,Kammi
American History X,Sam Vlahos,1998,Dr. Aguilar
American History X,Tara Blanchard,1998,Ally Vinyard
American History X,Anne Lambton,1998,Cassandra
American History X,Steve Wolford,1998,Reporter
American History X,Richard Noyce,1998,Desk Sergeant
American History X,Danso Gordon,1998,Buddy 1
American History X,Jim Norton,1998,Randy
American History X,David Basulto,1998,Guard
American History X,Alexis Rose Coen,1998,Young Ally Vinyard
American History X,Kiante Elam,1998,Lawrence's Partner (as Kiant Elam)
American History X,Paul Hopkins,1998,Student
American History X,Keith Odett,1998,Random Skinhead
American History X,Paul E. Short,1998,Stocky Buddy (as Paul Short)
American History X,Nigel Miguel,1998,Basketball Player
