TennisPlayer,Open
Roger Federer,Australian Open
Roger Federer,French Open
Roger Federer,Wimbledon
Roger Federer,US Open
Andy Murray,US Open
Andy Roddick,US Open
Lleyton Hewitt,US Open
Marat Safin,US Open
Juan Mart_n del Potro,US Open
Rafael Nadal,US Open
Novak Djokovic,Australian Open
Novak Djokovic,Australian Open
Marat Safin,Australian Open
Rafael Nadal,Australian Open
Rafael Nadal,French Open
Novak Djokovic,Wimbledon
Andy Murray,Wimbledon
Lleyton Hewitt,Wimbledon
Rafael Nadal,Wimbledon
