Year,Laureate,Field
1944,Comité international de la Croix Rouge (International Committee of the Red Cross) ,The Nobel Peace Prize
1917,Comité international de la Croix Rouge (International Committee of the Red Cross) ,The Nobel Peace Prize
1945,Cordell Hull ,The Nobel Peace Prize
1938,Corneille Jean François Heymans ,Physiology or Medicine
1911,Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck ,Literature
2006,Craig C. Mello ,Physiology or Medicine
1980,Czeslaw Milosz ,Literature
1976,D. Carleton Gajdusek ,Physiology or Medicine
1961,Dag Hjalmar Agne Carl Hammarskjöld ,The Nobel Peace Prize
2010,Dale T. Mortensen ,Economic Sciences
2011,Dan Shechtman ,Chemistry
1957,Daniel Bovet ,Physiology or Medicine
1998,Daniel C. Tsui ,Physics
2002,Daniel Kahneman ,Economic Sciences
2000,Daniel L. McFadden ,Economic Sciences
1978,Daniel Nathans ,Physiology or Medicine
1997,Dario Fo ,Literature
1975,David Baltimore ,Physiology or Medicine
1981,David H. Hubel ,Physiology or Medicine
2004,David J. Gross ,Physics
2012,David J. Wineland ,Physics
1996,David M. Lee ,Physics
1998,David Trimble ,The Nobel Peace Prize
1971,Dennis Gabor ,Physics
1969,Derek H. R. Barton ,Chemistry
1992,Derek Walcott ,Literature
1984,Desmond Mpilo Tutu ,The Nobel Peace Prize
1956,Dickinson W. Richards ,Physiology or Medicine
1960,Donald Arthur Glaser ,Physics
1987,Donald J. Cram ,Chemistry
2007,Doris Lessing ,Literature
1964,Dorothy Crowfoot Hodgkin ,Chemistry
1996,Douglas D. Osheroff ,Physics
1993,Douglass C. North ,Economic Sciences
1986,Dudley R. Herschbach ,Chemistry
1990,E. Donnall Thomas ,Physiology or Medicine
1950,Earl (Bertrand Arthur William) Russell ,Literature
1971,"Earl W. Sutherland, Jr. ",Physiology or Medicine
1932,Edgar Douglas Adrian ,Physiology or Medicine
1992,Edmond H. Fischer ,Physiology or Medicine
2006,Edmund S. Phelps ,Economic Sciences
1907,Eduard Buchner ,Chemistry
2014,Edvard I. Moser ,Physiology or Medicine
1943,Edward Adelbert Doisy ,Physiology or Medicine
1995,Edward B. Lewis ,Physiology or Medicine
2004,Edward C. Prescott ,Economic Sciences
1950,Edward Calvin Kendall ,Physiology or Medicine
1958,Edward Lawrie Tatum ,Physiology or Medicine
1952,Edward Mills Purcell ,Physics
1992,Edwin G. Krebs ,Physiology or Medicine
1951,Edwin Mattison McMillan ,Chemistry
2010,Ei-ichi Negishi ,Chemistry
1974,Eisaku Sato ,The Nobel Peace Prize
2004,Elfriede Jelinek ,Literature
1981,Elias Canetti ,Literature
1990,Elias James Corey ,Chemistry
1902,Élie Ducommun ,The Nobel Peace Prize
1986,Elie Wiesel ,The Nobel Peace Prize
1912,Elihu Root ,The Nobel Peace Prize
2009,Elinor Ostrom ,Economic Sciences
2009,Elizabeth H. Blackburn ,Physiology or Medicine
2011,Ellen Johnson Sirleaf ,The Nobel Peace Prize
1901,Emil Adolf von Behring ,Physiology or Medicine
1909,Emil Theodor Kocher ,Physiology or Medicine
1959,Emilio Gino Segrè ,Physics
1946,Emily Greene Balch ,The Nobel Peace Prize
1938,Enrico Fermi ,Physics
2001,Eric A. Cornell ,Physics
2014,Eric Betzig ,Chemistry
1995,Eric F. Wieschaus ,Physiology or Medicine
2000,Eric R. Kandel ,Physiology or Medicine
2007,Eric S. Maskin ,Economic Sciences
1931,Erik Axel Karlfeldt ,Literature
1954,Ernest Miller Hemingway ,Literature
1939,Ernest Orlando Lawrence ,Physics
1908,Ernest Rutherford ,Chemistry
1951,Ernest Thomas Sinton Walton ,Physics
1907,Ernesto Teodoro Moneta ,The Nobel Peace Prize
1945,Ernst Boris Chain ,Physiology or Medicine
1973,Ernst Otto Fischer ,Chemistry
1986,Ernst Ruska ,Physics
1991,Erwin Neher ,Physiology or Medicine
1933,Erwin Schrödinger ,Physics
2013,Eugene F. Fama ,Economic Sciences
1936,Eugene Gladstone O'Neill ,Literature
1963,Eugene Paul Wigner ,Physics
1975,Eugenio Montale ,Literature
2012,European Union (EU) ,The Nobel Peace Prize
1974,Eyvind Johnson ,Literature
1995,F. Sherwood Rowland ,Chemistry
1952,Felix Bloch ,Physics
1964,Feodor Lynen ,Physiology or Medicine
1927,Ferdinand Buisson ,The Nobel Peace Prize
1998,Ferid Murad ,Physiology or Medicine
2004,Finn E. Kydland ,Economic Sciences
1962,Francis Harry Compton Crick ,Physiology or Medicine
1922,Francis William Aston ,Chemistry
1985,Franco Modigliani ,Economic Sciences
2013,François Englert ,Physics
1965,François Jacob ,Physiology or Medicine
1952,François Mauriac ,Literature
2008,Françoise Barré-Sinoussi ,Physiology or Medicine
1929,Frank Billings Kellogg ,The Nobel Peace Prize
2004,Frank Wilczek ,Physics
1939,Frans Eemil Sillanpää ,Literature
1935,Frédéric Joliot ,Chemistry
1904,Frédéric Mistral ,Literature
1901,Frédéric Passy ,The Nobel Peace Prize
1954,Frederick Chapman Robbins ,Physiology or Medicine
1923,Frederick Grant Banting ,Physiology or Medicine
1995,Frederick Reines ,Physics
1980,Frederick Sanger ,Chemistry
1958,Frederick Sanger ,Chemistry
1921,Frederick Soddy ,Chemistry
1993,Frederik Willem de Klerk ,The Nobel Peace Prize
1908,Fredrik Bajer ,The Nobel Peace Prize
1922,Fridtjof Nansen ,The Nobel Peace Prize
1974,Friedrich August von Hayek ,Economic Sciences
1931,Friedrich Bergius ,Chemistry
1947,Friends Service Council (The Quakers) ,The Nobel Peace Prize
1953,Frits Zernike ,Physics
1953,Fritz Albert Lipmann ,Physiology or Medicine
1918,Fritz Haber ,Chemistry
1923,Fritz Pregl ,Chemistry
1982,Gabriel García Márquez ,Literature
1908,Gabriel Lippmann ,Physics
1945,Gabriela Mistral ,Literature
2000,Gao Xingjian ,Literature
1992,Gary S. Becker ,Economic Sciences
1973,Geoffrey Wilkinson ,Chemistry
1961,Georg von Békésy ,Physiology or Medicine
1979,Georg Wittig ,Chemistry
2001,George A. Akerlof ,Economic Sciences
1994,George A. Olah ,Chemistry
1925,George Bernard Shaw ,Literature
1953,George Catlett Marshall ,The Nobel Peace Prize
1980,George D. Snell ,Physiology or Medicine
1943,George de Hevesy ,Chemistry
1974,George E. Palade ,Physiology or Medicine
2009,George E. Smith ,Physics
2006,George F. Smoot ,Physics
1988,George H. Hitchings ,Physiology or Medicine
1934,George Hoyt Whipple ,Physiology or Medicine
1982,George J. Stigler ,Economic Sciences
1937,George Paget Thomson ,Physics
1967,George Porter ,Chemistry
1934,George Richards Minot ,Physiology or Medicine
1967,George Wald ,Physiology or Medicine
1958,George Wells Beadle ,Physiology or Medicine
1992,Georges Charpak ,Physics
1984,Georges J.F. Köhler ,Physiology or Medicine
1958,Georges Pire ,The Nobel Peace Prize
1972,Gerald M. Edelman ,Physiology or Medicine
1983,Gerard Debreu ,Economic Sciences
1999,Gerardus 't Hooft ,Physics
1986,Gerd Binnig ,Physics
1939,Gerhard Domagk ,Physiology or Medicine
2007,Gerhard Ertl ,Chemistry
1971,Gerhard Herzberg ,Chemistry
1912,Gerhart Johann Robert Hauptmann ,Literature
1988,Gertrude B. Elion ,Physiology or Medicine
1947,"Gerty Theresa Cori, née Radnitz ",Physiology or Medicine
1963,Giorgos Seferis ,Literature
1906,Giosuè Carducci ,Literature
1963,Giulio Natta ,Chemistry
1951,Glenn Theodore Seaborg ,Chemistry
1979,Godfrey N. Hounsfield ,Physiology or Medicine
2006,Grameen Bank ,The Nobel Peace Prize
1926,Grazia Deledda ,Literature
1909,Guglielmo Marconi ,Physics
1974,Gunnar Myrdal ,Economic Sciences
1999,Günter Blobel ,Physiology or Medicine
1999,Günter Grass ,Literature
1925,Gustav Ludwig Hertz ,Physics
1926,Gustav Stresemann ,The Nobel Peace Prize
2004,H. David Politzer ,Physics
2002,H. Robert Horvitz ,Physiology or Medicine
1967,Haldan Keffer Hartline ,Physiology or Medicine
1955,Halldór Kiljan Laxness ,Literature
1978,Hamilton O. Smith ,Physiology or Medicine
1970,Hannes Olof Gösta Alfvén ,Physics
1953,Hans Adolf Krebs ,Physiology or Medicine
1967,Hans Albrecht Bethe ,Physics
1930,Hans Fischer ,Chemistry
1989,Hans G. Dehmelt ,Physics
1929,Hans Karl August Simon von Euler-Chelpin ,Chemistry
1935,Hans Spemann ,Physiology or Medicine
1968,Har Gobind Khorana ,Physiology or Medicine
2008,Harald zur Hausen ,Physiology or Medicine
1934,Harold Clayton Urey ,Chemistry
1989,Harold E. Varmus ,Physiology or Medicine
2005,Harold Pinter ,Literature
1990,Harry M. Markowitz ,Economic Sciences
1974,Harry Martinson ,Literature
1988,Hartmut Michel ,Chemistry
1913,Heike Kamerlingh Onnes ,Physics
1972,Heinrich Böll ,Literature
1927,Heinrich Otto Wieland ,Chemistry
1986,Heinrich Rohrer ,Physics
1902,Hendrik Antoon Lorentz ,Physics
1927,Henri Bergson ,Literature
1913,Henri La Fontaine ,The Nobel Peace Prize
1906,Henri Moissan ,Chemistry
1943,Henrik Carl Peter Dam ,Physiology or Medicine
1917,Henrik Pontoppidan ,Literature
1973,Henry A. Kissinger ,The Nobel Peace Prize
1983,Henry Taube ,Chemistry
1990,Henry W. Kendall ,Physics
1905,Henryk Sienkiewicz ,Literature
1985,Herbert A. Hauptman ,Chemistry
1978,Herbert A. Simon ,Economic Sciences
1979,Herbert C. Brown ,Chemistry
2000,Herbert Kroemer ,Physics
1944,Herbert Spencer Gasser ,Physiology or Medicine
1902,Hermann Emil Fischer ,Chemistry
1946,Hermann Hesse ,Literature
1946,Hermann Joseph Muller ,Physiology or Medicine
1953,Hermann Staudinger ,Chemistry
2009,Herta Müller ,Literature
2000,Hideki Shirakawa ,Chemistry
1949,Hideki Yukawa ,Physics
2014,Hiroshi Amano ,Physics
1998,Horst L. Störmer ,Physics
1975,Howard Martin Temin ,Physiology or Medicine
1958,Igor Yevgenyevich Tamm ,Physics
1958,Il´ja Mikhailovich Frank ,Physics
1908,Ilya Ilyich Mechnikov ,Physiology or Medicine
1977,Ilya Prigogine ,Chemistry
2002,Imre Kertész ,Literature
1904,Institut de droit international (Institute of International Law) ,The Nobel Peace Prize
2007,Intergovernmental Panel on Climate Change (IPCC) ,The Nobel Peace Prize
2005,International Atomic Energy Agency (IAEA) ,The Nobel Peace Prize
1997,International Campaign to Ban Landmines (ICBL) ,The Nobel Peace Prize
1969,International Labour Organization (I.L.O.) ,The Nobel Peace Prize
1985,International Physicians for the Prevention of Nuclear War ,The Nobel Peace Prize
1935,Irène Joliot-Curie ,Chemistry
1932,Irving Langmuir ,Chemistry
2004,Irwin Rose ,Chemistry
1978,Isaac Bashevis Singer ,Literature
2014,Isamu Akasaki ,Physics
1944,Isidor Isaac Rabi ,Physics
1933,Ivan Alekseyevich Bunin ,Literature
1904,Ivan Petrovich Pavlov ,Physiology or Medicine
1973,Ivar Giaever ,Physics
1961,Ivo Andric ,Literature
1987,J. Georg Bednorz ,Physics
1963,J. Hans D. Jensen ,Physics
1989,J. Michael Bishop ,Physiology or Medicine
2005,J. Robin Warren ,Physiology or Medicine
1922,Jacinto Benavente ,Literature
2000,Jack S. Kilby ,Physics
1988,Jack Steinberger ,Physics
2009,Jack W. Szostak ,Physiology or Medicine
1901,Jacobus Henricus van 't Hoff ,Chemistry
1965,Jacques Monod ,Physiology or Medicine
1996,James A. Mirrlees ,Economic Sciences
1946,James Batcheller Sumner ,Chemistry
1935,James Chadwick ,Physics
1962,James Dewey Watson ,Physiology or Medicine
1977,James E. Meade ,Economic Sciences
2013,James E. Rothman ,Physiology or Medicine
1925,James Franck ,Physics
2000,James J. Heckman ,Economic Sciences
1986,James M. Buchanan Jr. ,Economic Sciences
1981,James Tobin ,Economic Sciences
1980,James Watson Cronin ,Physics
1969,Jan Tinbergen ,Economic Sciences
1931,Jane Addams ,The Nobel Peace Prize
1959,Jaroslav Heyrovsky ,Chemistry
1984,Jaroslav Seifert ,Literature
1926,Jean Baptiste Perrin ,Physics
1980,Jean Dausset ,Physiology or Medicine
