Country,Head Of State
Sudan , Umar Hassan Ahmad Al Bashir
Suriname , Desire Delano Bouterse
Swaziland ,Mswati III
Sweden ,Carl XVI Gustaf
Syria , Bashar Al Asad
Taiwan , Ma Ying Jeou
Tajikistan , Emomali Rahmon
Tanzania , Jakaya Mrisho Kikwete
Thailand ,Phumiphon Adunyadet
Timor East, Taur Matan Ruak
Togo, Faure Gnassingbe
Tonga ,Tupou VI
Trinidad and Tobago , Anthony Thomas Aquinas Carmona
Tunisia , Beji Caid Essebsi
Turkey , Recep Tayyip Erdo_an
Turkmenistan , Gurbanguly Berdimuhamedow
Tuvalu ,Iakoba Italeli
Uganda ,Yoweri Kaguta Museveni
Ukraine , Petro Poroshenko
United Arab Emirates , Khalifa Bin Zayid Al Nuhayyan
UnitedÊStates of America ,ÊBarack Obama
United Kingdom ,Elizabeth II
Uruguay , TabarŽ V‡zquez
Uzbekistan , Islom Karimov
Vanuatu , Baldwin Lonsdale
Venezuela , Nicolas Maduro Moros
Vietnam , Truong Tan Sang
Yemen , Fd. Mar. Abd Rabuh Mansur Hadi
Zambia , Edgar Lungu
Zimbabwe , Robert Gabriel Mugabe
