game,release date,publisher
Crash Bandicoot: The Wrath of Cortex,18/9/2002,Universal Interactive
007: NightFire,20/11/2002,EA
Ice Age 2: The Meltdown,14/3/2006,Sierra
SRS: Street Racing Syndicate,31/8/2004,"Namco Bandai Games America, Inc"
Big Mutha Truckers,18/8/2003,Empire Interactive
Rocket Power: Beach Bandits,24/9/2002,THQ
The Legend of Heroes: A Tear of Vermillion,15/11/2005,"Bandai America, Inc"
Puzzle Scape,18/6/2007,Got Game Entertainment
Pinball Hall of Fame: The Gottlieb Collection,25/3/2005,Crave
Pinball Hall of Fame: The Williams Collection,26/2/2008,Crave
TimeSplitters 2,24/9/2002,Eidos Interactive
B-Boy,16/9/2008,SouthPeak Interactive
Lost Kingdoms,29/5/2002,Activision
Thrillville,21/11/2006,Lucas Arts
Wallace & Gromit in Project Zoo,16/10/2003,BAM! Entertainment
Cabela's Outdoor Adventures,15/9/2005,Activision
Pokemon Colosseum,22/3/2004,Nintendo
Street Supremacy,28/2/2006,Konami
The Fast and the Furious,24/4/2007,"Namco Bandai Games America, Inc"
Ratchet & Clank: Size Matters,13/2/2007,Sony
The Grim Adventures of Billy & Mandy,26/9/2006,Midway
Baldur's Gate: Dark Alliance,20/11/2002,Interplay Entertainment
Hunter: The Reckoning,20/11/2002,Interplay Entertainment
Charlie and the Chocolate Factory,18/7/2005,Global Star
50 Cent: Bulletproof -- G Unit Edition,29/8/2006,Firaxis Games
Bomberman Land,29/1/2008,Hudson  Soft
Frogger: Ancient Shadow,27/9/2005,Konami
Disney's Party,16/9/2003,EA
Outlaw Golf,30/10/2002,Simon & Schuster
Twisted Metal: Head-On,24/3/2005,Sony
Dungeons & Dragons: Heroes,31/12/1969,Infogrames
Gitaroo Man Lives,16/11/2006,KOEI Corporation
Fire Emblem: Path of Radiance,18/10/2005,Nintendo
Hitman 2: Silent Assassin,17/6/2003,Eidos Interactive
Puzzle Guzzle,26/2/2008,Agetec
Goblin Commander: Unleash the Horde,17/12/2003,Jaleco
Mortal Kombat: Unchained,14/11/2006,Midway
Juiced: Eliminator,29/6/2006,THQ
Batman: Dark Tomorrow,17/2/2003,Kemco
Grooverider: Slot Car Thunder,23/9/2003,Encore Software
Mystic Heroes,30/9/2002,KOEI Corporation
Metal Gear Solid: Digital Graphic Novel,13/6/2006,Konami
Castlevania: The Dracula X Chronicles,23/10/2007,Konami
Steel Horizon,29/6/2007,Konami
TMNT Mutant Melee,15/3/2005,Konami
Metal Gear Ac!d 2,23/3/2006,Konami
Metal Gear Ac!d,24/3/2005,Konami
Disney Sports Skateboarding,13/11/2002,Konami
Disney Sports Soccer,13/11/2002,Konami
Evolution Skateboarding,13/11/2002,Konami
Evolution Snowboarding,25/2/2003,Konami
WTA Tour Tennis,28/9/2002,Konami
Frogger: Helmet Chaos,27/9/2005,Xseed Games
The Legend of Spyro: A New Beginning,13/10/2006,Vivendi Universal
King Arthur,16/11/2004,Konami
Hellboy: The Science of Evil,24/6/2008,Konami
Strike Force Bowling,22/3/2005,Crave
NBA Courtside 2002,15/1/2002,Nintendo
World Series of Poker,15/9/2005,Activision
World Series of Poker,20/9/2005,Activision
MTX: Mototrax,29/6/2006,Activision
Gladius,29/9/2003,LucasArts
Shrek 2,28/4/2004,Activision
Shrek: Super Party,27/5/2003,TDK Mediactive
The Sims 2,13/12/2005,EA
The Sims Bustin' Out,16/12/2003,EA
The Sims 2: Pets,17/10/2006,EA
The Sims 2,25/10/2005,EA
Freaky Flyers,18/8/2003,Midway
Mortal Kombat: Deadly Alliance,19/11/2002,Midway
Dr. Muto,20/12/2002,Midway
Dora the Explorer: Journey to the Purple Planet,13/10/2005,Global Star
Baten Kaitos Origins,26/9/2006,"Namco Bandai Games America, Inc"
NASCAR: Dirt to Daytona,13/11/2002,Infogrames
Jackass: The Game,26/9/2007,Red Mile Entertainment
Geist,16/8/2005,Nintendo
Mary-Kate and Ashley: Sweet 16 -- Licensed to Drive,26/11/2002,Club Acclaim
Ridge Racer,24/3/2005,"Namco Bandai Games America, Inc"
Tekken: Dark Resurrection,25/7/2006,"Namco Bandai Games America, Inc"
Gunpey,16/11/2006,"Namco Bandai Games America, Inc"
Ace Combat X: Skies of Deception,24/10/2006,"Namco Bandai Games America, Inc"
MotoGP,26/9/2006,"Namco Bandai Games America, Inc"
Snoopy vs. The Red Baron,24/10/2006,"Namco Bandai Games America, Inc"
Dead to Rights,26/11/2002,"Namco Bandai Games America, Inc"
Star Fox: Assault,14/2/2005,Nintendo
Donkey Konga,27/9/2004,Nintendo
Pac-Man World 2,14/3/2002,"Namco Bandai Games America, Inc"
Soul Calibur II,26/8/2003,"Namco Bandai Games America, Inc"
Tales of Symphonia,13/7/2004,"Namco Bandai Games America, Inc"
Harvest Moon: A Wonderful Life,16/3/2004,Natsume Inc
Tube Slider,25/3/2003,"NEC Interchannel, Ltd"
Code Lyoko: Quest for Infinity,17/7/2008,Game Factory
Tony Hawk's Pro Skater 3,18/11/2001,Activision
Tony Hawk's Project 8,21/11/2006,Activision
Tony Hawk's Pro Skater 4,24/10/2002,Activision
Tony Hawk's Underground,28/10/2003,Activision
Little League Baseball,31/12/1969,NewKidCo
Tom and Jerry in War of the Whiskers,25/11/2003,NewKidCo LLC
NHL Hitz Pro,23/9/2003,Midway
Animal Crossing,16/9/2002,Nintendo
Luigi's Mansion,18/11/2001,Nintendo
Mario Party 4,22/10/2002,Nintendo
The Legend of Zelda: The Wind Waker,25/3/2003,Nintendo
Super Mario Sunshine,27/8/2002,Nintendo
Pikmin 2,30/8/2004,Nintendo
The Legend of Zelda: Ocarina of Time / Master Quest (bonus disc,18/2/2003,Nintendo
Super Mario Galaxy,13/11/2007,Nintendo
Donkey Kong Jungle Beat,14/3/2005,Nintendo
Mario Golf: Toadstool Tour,28/7/2003,Nintendo
Wave Race: Blue Storm,18/11/2001,Nintendo
Judge Dredd: Dredd vs Death,28/2/2005,Evolved Games
NBA Street,20/2/2002,EA Sports Big
Dynasty Warriors Vol. 2,24/10/2006,KOEI Corporation
Star Wars: The Clone Wars,29/10/2002,Lucas Arts
Mission: Impossible -- Operation Surma,23/3/2004,Atari
Peter Jackson's King Kong: The Official Game of the Movie,20/12/2005,Ubisoft Entertainment
Conflict: Desert Storm,24/4/2003,Gotham Games
Diner Dash: Sizzle & Serve,22/5/2007,Eidos Interactive
Brunswick Pro Bowling,21/8/2007,Crave
Smashing Drive,21/2/2002,"Namco Bandai Games America, Inc"
SpyHunter,13/3/2002,Midway
NFL Blitz 20-02,21/3/2002,Midway
Red Card 20-03,27/6/2002,Midway
World Championship Poker Featuring Howard Lederer: All In,22/8/2006,Crave
Patapon,26/2/2008,Sony
Crash Clash Racing,20/9/2005,Vivendi Universal
Tetris Worlds,27/6/2002,THQ
The Simpsons Road Rage,20/12/2001,EA
X-Men Legends II: Rise of Apocalypse,20/9/2005,Activision
X-Men Legends,21/9/2004,Activision
X-Men Legends II: Rise of Apocalypse,25/10/2005,Activision
Okami,15/4/2008,Capcom
Okami,15/4/2008,Capcom
Okami,15/4/2008,Capcom
Okami,15/4/2008,Capcom
Dead to Rights: Reckoning,28/6/2005,"Namco Bandai Games America, Inc"
Tom Clancy's Ghost Recon 2,15/3/2005,Ubisoft Entertainment
Tom Clancy's Rainbow Six: Lockdown,27/9/2005,Ubisoft Entertainment
Metroid Prime 2: Echoes,18/11/2004,Radica Games Limited
Grand Theft Auto: Liberty City Stories,25/10/2005,Rockstar
Grand Theft Auto: Vice City Stories,31/10/2006,Rockstar
Cabela's Dangerous Hunts 2,15/11/2005,Activision
Rapala Trophies,22/8/2006,Activision
Scooby-Doo! Who's Watching Who,17/10/2006,THQ
MLB 07: The Show,27/2/2007,Sony
MediEvil Resurrection,13/9/2005,Sony
