Country,Location,Unesco Site
Pakistan,Punjab,Rohtas Fort
Haiti,Nord,Sans-Souci Palace
Haiti,Nord,Citadelle Laferrière
Haiti,Nord,Buildings of Ramiers
Madagascar,Melaky,Tsingy de Bemaraha Strict Nature Reserve
Madagascar,Analamanga,Royal Hill of Ambohimanga
Madagascar,SavaAnalanjirofoHaute MatsiatraVatovavy-FitovinanyIhorombeAnosy,Rainforests of the Atsinananadagger
South Africa,Sterkfontein,Fossil Hominid Sites of Sterkfontein Swartkrans Kromdraai and Environs
South Africa,Limpopo Province,Mapungubwe Cultural Landscape
South Africa,Northern Cape,Richtersveld Cultural and Botanical Landscape
South Africa,Table Bay,Robben Island
South Africa,Western CapeEastern Cape,Cape Floral Region Protected Areas
South Africa,KwaZulu-Natal,iSimangaliso Wetland Park
South Africa,Vredefort,Vredefort Dome
South Africa,KwaZulu-NatalLesotho,uKhahlamba / Drakensberg Park
Turkmenistan,Dashoguz Velayet,Kunya-Urgench
Turkmenistan,Akhal Velayet,Parthian Fortresses of Nisa
Turkmenistan,Mary Velayet,State Historical and Cultural Park “Ancient Merv”
Kyrgyzstan,Osh Province,Sulaiman-Too Sacred Mountain
Uzbekistan,Bukhara,Historic Centre of Bukhara
Uzbekistan,Kashkadarya,Historic Centre of Shakhrisyabz
Uzbekistan,Khorezm,Itchan Kala (Khiva)
Uzbekistan,Samarkand,Samarkand – Crossroads of Cultures
Marshall Islands,Ralik Chain,Bikini Atoll Nuclear Test Site
Vanuatu,Shefa,Chief Roi Mata's Domain
Solomon Islands,Rennell and Bellona,East Rennell
